#ABBREVIATION,LONG NAME,COUNTS AS FOR FL STATIONS,DX Entity Number,Counts As Mult for FL,Counts As Mult for Other,Type
"3B8","MAURITIUS","3B8",165,true,false,DX
"3B9","RODRIGUEZ ISLAND","3B9",207,true,false,DX
"3C","EQUATORIAL GUINEA","3C",49,true,false,DX
"3C0","ANNOBON ISLAND","3C0",195,true,false,DX
"3D2","FIJI","3D2",176,true,false,DX
"3D2/C","CONWAY REEF","3D2/C",489,true,false,DX
"3D2/R","ROTUMA ISLAND","3D2/R",460,true,false,DX
"3DA","KINGDOM OF ESWATINI","3DA",468,true,false,DX
"3V","TUNISIA","3V",474,true,false,DX
"3W","VIETNAM","3W",293,true,false,DX
"3X","GUINEA","3X",107,true,false,DX
"3Y/B","BOUVET","3Y/B",24,true,false,DX
"3Y/P","PETER 1 ISLAND","3Y/P",199,true,false,DX
"4J","AZERBAIJAN","4J",18,true,false,DX
"4L","GEORGIA","4L",75,true,false,DX
"4O","MONTENEGRO","4O",514,true,false,DX
"4S","SRI LANKA","4S",315,true,false,DX
"4U1I","ITU HQ","4U1I",117,true,false,DX
"4U1U","UNITED NATIONS HQ","4U1U",289,true,false,DX
"*4U1V","VIENNA INTL CTR","*4U1V",206,true,false,DX
"4W","TIMOR - LESTE","4W",511,true,false,DX
"4X","ISRAEL","4X",336,true,false,DX
"5A","LIBYA","5A",436,true,false,DX
"5B","CYPRUS","5B",215,true,false,DX
"5H","TANZANIA","5H",470,true,false,DX
"5N","NIGERIA","5N",450,true,false,DX
"5R","MADAGASCAR","5R",438,true,false,DX
"5T","MAURITANIA","5T",444,true,false,DX
"5U","NIGER","5U",187,true,false,DX
"5V","TOGO","5V",483,true,false,DX
"5W","SAMOA","5W",190,true,false,DX
"5X","UGANDA","5X",286,true,false,DX
"5Z","KENYA","5Z",430,true,false,DX
"6W","SENEGAL","6W",456,true,false,DX
"6Y","JAMAICA","6Y",82,true,false,DX
"7O","YEMEN","7O",492,true,false,DX
"7P","LESOTHO","7P",432,true,false,DX
"7Q","MALAWI","7Q",440,true,false,DX
"7X","ALGERIA","7X",400,true,false,DX
"8P","BARBADOS","8P",62,true,false,DX
"8Q","MALDIVES","8Q",159,true,false,DX
"8R","GUYANA","8R",129,true,false,DX
"9A","CROATIA","9A",497,true,false,DX
"9G","GHANA","9G",424,true,false,DX
"9H","MALTA","9H",257,true,false,DX
"9J","ZAMBIA","9J",482,true,false,DX
"9K","KUWAIT","9K",348,true,false,DX
"9L","SIERRA LEONE","9L",458,true,false,DX
"9M2","WEST MALAYSIA","9M2",299,true,false,DX
"9M6","EAST MALAYSIA","9M6",46,true,false,DX
"9N","NEPAL","9N",369,true,false,DX
"9Q","DEM. REP. OF THE CONGO","9Q",414,true,false,DX
"9U","BURUNDI","9U",404,true,false,DX
"9V","SINGAPORE","9V",381,true,false,DX
"9X","RWANDA","9X",454,true,false,DX
"9Y","TRINIDAD & TOBAGO","9Y",90,true,false,DX
"A2","BOTSWANA","A2",402,true,false,DX
"A3","TONGA","A3",160,true,false,DX
"A4","OMAN","A4",370,true,false,DX
"A5","BHUTAN","A5",306,true,false,DX
"A6","UNITED ARAB EMIRATES","A6",391,true,false,DX
"A7","QATAR","A7",376,true,false,DX
"A9","BAHRAIN","A9",304,true,false,DX
"AP","PAKISTAN","AP",372,true,false,DX
"BS7","SCARBOROUGH REEF","BS7",506,true,false,DX
"BV","TAIWAN","BV",386,true,false,DX
"BV9P","PRATAS ISLAND","BV9P",505,true,false,DX
"BY","CHINA","BY",318,true,false,DX
"C2","NAURU","C2",157,true,false,DX
"C3","ANDORRA","C3",203,true,false,DX
"C5","THE GAMBIA","C5",422,true,false,DX
"C6","BAHAMAS","C6",60,true,false,DX
"C9","MOZAMBIQUE","C9",181,true,false,DX
"CE","CHILE","CE",112,true,false,DX
"CE0X","SAN FELIX & SAN AMBROSIO","CE0X",217,true,false,DX
"CE0Y","EASTER ISLAND","CE0Y",47,true,false,DX
"CE0Z","JUAN FERNANDEZ ISLANDS","CE0Z",125,true,false,DX
"CE9","ANTARCTICA","CE9",13,true,false,DX
"CM","CUBA","CM",70,true,false,DX
"CN","MOROCCO","CN",446,true,false,DX
"CP","BOLIVIA","CP",104,true,false,DX
"CT1","PORTUGAL","CT1",272,true,false,DX
"CT3","MADEIRA ISLANDS","CT3",256,true,false,DX
"CU","AZORES","CU",149,true,false,DX
"CX","URUGUAY","CX",144,true,false,DX
"CY0","SABLE ISLAND","CY0",211,true,false,DX
"CY9","ST. PAUL ISLAND","CY9",252,true,false,DX
"D2","ANGOLA","D2",401,true,false,DX
"D4","CAPE VERDE","D4",409,true,false,DX
"D6","COMOROS","D6",411,true,false,DX
"DL","FED. REP. OF GERMANY","DL",230,true,false,DX
"DU","PHILIPPINES","DU",375,true,false,DX
"E3","ERITREA","E3",51,true,false,DX
"E4","PALESTINE","E4",510,true,false,DX
"E5/N","NORTH COOK ISLANDS","E5/N",191,true,false,DX
"E5/S","SOUTH COOK ISLANDS","E5/S",234,true,false,DX
"E6","NIUE","E6",188,true,false,DX
"E7","BOSNIA-HERZEGOVINA","E7",501,true,false,DX
"EA","SPAIN","EA",281,true,false,DX
"EA6","BALEARIC ISLANDS","EA6",21,true,false,DX
"EA8","CANARY ISLANDS","EA8",29,true,false,DX
"EA9","CEUTA & MELILLA","EA9",32,true,false,DX
"EI","IRELAND","EI",245,true,false,DX
"EK","ARMENIA","EK",14,true,false,DX
"EL","LIBERIA","EL",434,true,false,DX
"EP","IRAN","EP",330,true,false,DX
"ER","MOLDOVA","ER",179,true,false,DX
"ES","ESTONIA","ES",52,true,false,DX
"ET","ETHIOPIA","ET",53,true,false,DX
"EU","BELARUS","EU",27,true,false,DX
"EX","KYRGYZSTAN","EX",135,true,false,DX
"EY","TAJIKISTAN","EY",262,true,false,DX
"EZ","TURKMENISTAN","EZ",280,true,false,DX
"F","FRANCE","F",227,true,false,DX
"FG","GUADELOUPE","FG",79,true,false,DX
"FH","MAYOTTE","FH",169,true,false,DX
"FJ","ST. BARTHELEMY","FJ",516,true,false,DX
"FK","NEW CALEDONIA","FK",162,true,false,DX
"FK/C","CHESTERFIELD ISLANDS","FK/C",512,true,false,DX
"FM","MARTINIQUE","FM",84,true,false,DX
"FO","FRENCH POLYNESIA","FO",175,true,false,DX
"FO/A","AUSTRAL ISLANDS","FO/A",508,true,false,DX
