#alias,canonical abbreviation
VE1,NS
VA1,NS
VE2,QC
VA2,QC
VE3,ON
VA3,ON
VE4,MB
VA4,MB
VE5,SK
VA5,SK
VE6,AB
VA6,AB
VE7,BC
VA7,BC
VE8,NT
VE9,NB
VO1,NL
VO2,NL
VY1,YT
VY2,PE
VI,KP4
PR,KP2
AS,KH8
GU,KH2
